Type,Front,Back,Tags
"Cloze","A hash table has {{c1::O(1)}} average lookup time","","arrays_hashing::complexity"
"Cloze","A hash table has {{c1::O(n)}} worst-case lookup time due to collisions","","arrays_hashing::complexity"
"Cloze","Hash table insertion is {{c1::O(1)}} average time","","arrays_hashing::complexity"
"Cloze","Hash table space complexity is {{c1::O(n)}} where n is number of elements","","arrays_hashing::complexity"
"Cloze","A {{c1::hash function}} converts a key into an array index","","arrays_hashing::concept"
"Cloze","A {{c1::collision}} occurs when two keys hash to the same index","","arrays_hashing::concept"
"Cloze","{{c1::Chaining}} handles collisions by storing multiple elements at same index in a linked list","","arrays_hashing::concept"
"Cloze","{{c1::Open addressing}} handles collisions by probing for next empty slot","","arrays_hashing::concept"
"Cloze","A {{c1::set}} stores unique elements with O(1) lookup","","arrays_hashing::concept"
"Cloze","Import Counter: {{c1::from collections import Counter}}","","arrays_hashing::python"
"Cloze","Import defaultdict: {{c1::from collections import defaultdict}}","","arrays_hashing::python"
"Cloze","Create Counter from list: {{c1::Counter(nums)}}","","arrays_hashing::python"
"Cloze","Create defaultdict with list: {{c1::defaultdict(list)}}","","arrays_hashing::python"
"Cloze","Create defaultdict with int: {{c1::defaultdict(int)}}","","arrays_hashing::python"
"Cloze","Create empty set: {{c1::set()}} not {}","","arrays_hashing::python"
"Cloze","Add to set: {{c1::my_set.add(x)}}","","arrays_hashing::python"
"Cloze","Remove from set: {{c1::my_set.remove(x)}} or {{c2::my_set.discard(x)}}","","arrays_hashing::python"
"Cloze","Check if in set: {{c1::x in my_set}}","","arrays_hashing::python"
"Cloze","Get most common from Counter: {{c1::counter.most_common(k)}}","","arrays_hashing::python"
"Cloze","Iterate with index: {{c1::for i, val in enumerate(nums)}}","","arrays_hashing::python"
"Cloze","Get dict keys: {{c1::dict.keys()}}","","arrays_hashing::python"
"Cloze","Get dict values: {{c1::dict.values()}}","","arrays_hashing::python"
"Cloze","Get dict items: {{c1::dict.items()}}","","arrays_hashing::python"
